ESTACION,ANO,MES,VEL
Estacion1,2005,4,2.980049261083752
Estacion1,2005,5,3.4361263736263665
Estacion1,2005,6,3.621287716797346
Estacion1,2005,7,3.7123727663424635
Estacion1,2005,8,3.6979252165982546
Estacion1,2005,9,3.475673741950862
Estacion1,2005,10,2.8820582877959997
Estacion1,2005,11,2.565895540186022
Estacion1,2005,12,3.524970608981886
Estacion1,2006,1,3.526474719101117
Estacion1,2006,2,3.724806892453958
Estacion1,2006,3,3.3709366391184523
Estacion1,2006,4,2.984463276836161
Estacion1,2006,5,3.104625850340138
Estacion1,2006,6,3.58038384845463
Estacion1,2006,7,3.742381489841988
Estacion1,2006,8,3.5617871161394663
Estacion1,2006,9,3.7270162238419897
Estacion1,2006,10,3.0162054409005568
Estacion1,2006,11,3.0439393939393997
Estacion1,2006,12,3.301535750251772
Estacion1,2007,1,3.9024131709517382
Estacion1,2007,2,4.039918946301918
Estacion1,2007,3,3.794337090713902
Estacion1,2007,4,3.4432388222464576
Estacion1,2007,5,3.32027860242064
Estacion1,2007,6,4.221797912713466
Estacion1,2007,7,4.034336652002776
Estacion1,2007,8,3.3482662968099763
Estacion1,2007,9,3.507351532567044
Estacion1,2007,10,2.907415254237291
Estacion1,2007,11,3.178111484863041
Estacion1,2007,12,3.474330357142859
Estacion1,2008,1,3.9865168539325824
Estacion1,2008,2,4.006001846722073
Estacion1,2008,3,3.4414285714285624
Estacion1,2008,4,4.19219367588933
Estacion1,2008,5,3.062885662431944
Estacion1,2008,6,3.7693638676844756
Estacion1,2008,7,3.842765042979938
Estacion1,2008,8,3.309745238684134
Estacion1,2008,9,3.3579735462939757
Estacion1,2008,10,3.101525658807204
Estacion1,2008,11,2.446259934548857
Estacion1,2008,12,3.184178597427812
Estacion1,2009,1,3.3242704955998104
Estacion1,2009,2,3.64719601677148
Estacion1,2009,3,3.4212819863187187
Estacion1,2009,4,3.4027894983591254
Estacion1,2009,5,3.3601222826087023
Estacion1,2009,6,3.793635250917985
Estacion1,2009,7,4.360994704121572
Estacion1,2009,8,3.7971396396396413
Estacion1,2009,9,4.034752284752291
Estacion1,2009,10,3.3738538681948422
Estacion1,2009,11,3.705831452219714
Estacion1,2009,12,3.946486870120653
Estacion1,2010,1,3.9083333333333274
Estacion1,2010,2,3.9252634498058807
Estacion1,2010,3,3.8842482634998965
Estacion1,2010,4,2.999930555555553
Estacion1,2010,5,3.039290681502081
Estacion1,2010,6,3.3850490196078398
Estacion1,2010,7,2.972284122562679
Estacion1,2010,8,3.011277302943964
Estacion1,2010,9,2.7714355231143513
Estacion1,2010,10,2.655657568238207
Estacion1,2010,11,2.4932305468561853
Estacion1,2010,12,3.042657016110196
Estacion1,2011,1,3.5699152542372827
Estacion1,2011,2,2.820239065471333
Estacion1,2011,3,2.8008351293103404
Estacion1,2011,4,2.795784313725491
Estacion1,2011,6,3.8121212121212182
Estacion1,2011,7,3.708269329237071
Estacion1,2011,8,3.3199264705882285
Estacion1,2011,9,3.3580286738351193
Estacion1,2011,10,2.710720390720387
Estacion1,2011,11,2.5790171606864267
Estacion1,2011,12,3.3163109756097606
Estacion1,2012,1,3.1235651214127884
Estacion1,2012,2,3.641865079365084
Estacion1,2012,3,3.7079066065269153
Estacion1,2012,4,2.5476477337923127
Estacion1,2012,5,3.593689192742574
Estacion1,2012,6,4.221817235095021
Estacion1,2012,7,3.969077242094347
Estacion1,2012,8,3.560229645093951
Estacion1,2012,9,3.484763948497859
Estacion1,2012,10,2.7156753407682754
Estacion1,2012,11,3.064052741151982
Estacion1,2012,12,3.4655469953775127
Estacion1,2013,1,3.29879101899828
Estacion1,2013,2,3.2318416968442842
Estacion1,2013,3,3.843410852713171
Estacion1,2013,4,3.11605374823196
Estacion1,2013,5,3.417147435897432
