ESTACION,ANO,VEL
Estacion1,2005,3.3451502263684962
Estacion1,2006,3.3697993754545075
Estacion1,2007,3.5963472619575434
Estacion1,2008,3.398824975040326
Estacion1,2009,3.66482712188342
Estacion1,2010,3.161873801110522
Estacion1,2011,3.1365808236671544
Estacion1,2012,3.4450454680241487
Estacion1,2013,3.538342011064097
Estacion1,2014,3.45578921078922
Estacion1,2015,3.7779808899145197
Estacion1,2016,3.330220994475063
Estacion1,2017,3.2011493797313175
Estacion2,,
Estacion2,2014,1.1526877158959994
Estacion2,2015,1.1472614622057096
Estacion2,2016,1.0571862146080437
Estacion2,2017,1.012212073073861
Estacion3,2005,1.395973665596624
Estacion3,2006,1.5161108879067902
Estacion3,2012,1.323717167931546
Estacion3,2013,1.3370774140706831
Estacion3,2014,1.234715356938711
Estacion3,2015,1.2371894975321962
Estacion3,2016,1.3308187457512164
Estacion3,2017,1.3617791160559294
Estacion4,2006,3.2187048098082416
Estacion4,2007,3.342500565995052
Estacion4,2008,2.7997005647576354
Estacion4,2009,4.0060349431601825
Estacion4,2010,3.3342226040560274
Estacion4,2011,3.3481436157426483
Estacion4,2012,3.5119379595773053
Estacion4,2013,3.6539933159089824
Estacion4,2014,3.6206199252195823
Estacion4,2015,4.02149037061687
Estacion4,2016,3.5266900456312436
Estacion4,2017,3.0022155346858392
