ESTACION,MES,VEL
Estacion1,1,3.5059530159813543
Estacion1,2,3.535678972415966
Estacion1,3,3.442782103186926
Estacion1,4,3.245272212639869
Estacion1,5,3.3720682876357375
Estacion1,6,3.8454275262917066
Estacion1,7,3.87093433279369
Estacion1,8,3.5631316578756835
Estacion1,9,3.4851503458982678
Estacion1,10,3.0423471333105785
Estacion1,11,2.8275784102223875
Estacion1,12,3.490584826698116
Estacion2,,
Estacion2,1,1.264381720430108
Estacion2,2,1.2351156428749082
Estacion2,3,1.1945278156737873
Estacion2,4,1.0552479389688718
Estacion2,5,1.0122658726347111
Estacion2,6,1.002532963219986
Estacion2,7,1.0276812852800714
Estacion2,8,1.0951509115979783
Estacion2,9,1.0633792333457386
Estacion2,10,1.1305685967657801
Estacion2,11,1.142709849587579
Estacion2,12,1.2235544598834618
Estacion3,1,1.4320946805802974
Estacion3,2,1.4500163594721263
Estacion3,3,1.4484865837696415
Estacion3,4,1.318745745064274
Estacion3,5,1.2973902626850318
Estacion3,6,1.2303338528422605
Estacion3,7,1.2019999134236545
Estacion3,8,1.1956083007940939
Estacion3,9,1.2432890222984454
Estacion3,10,1.304602856131238
Estacion3,11,1.3353306674869132
Estacion3,12,1.3625213322323024
Estacion4,1,3.296822491674938
Estacion4,2,3.3783480710759477
Estacion4,3,2.8552563878412593
Estacion4,4,2.6425692394836497
Estacion4,5,3.4650568274334796
Estacion4,6,4.746484941056698
Estacion4,7,4.807825628521529
Estacion4,8,4.146601590744801
Estacion4,9,4.0063776034781995
Estacion4,10,2.8771072824670916
Estacion4,11,2.788539299656271
Estacion4,12,3.6475354683914065
