ESTACION,HORA,VEL
Estacion1,0,2.5171288813271278
Estacion1,1,2.4229398000425624
Estacion1,2,2.423709581093773
Estacion1,3,2.453470646169688
Estacion1,4,2.5101003574966674
Estacion1,5,2.5656465985655394
Estacion1,6,2.5511213266884494
Estacion1,7,2.598566170176347
Estacion1,8,3.2485589294904735
Estacion1,9,3.865461778671364
Estacion1,10,4.298662678914748
Estacion1,11,4.6223009976650635
Estacion1,12,4.8333910472972965
Estacion1,13,4.916534033186643
Estacion1,14,4.98454196055247
Estacion1,15,4.899340519974659
Estacion1,16,4.6230150033715915
Estacion1,17,4.154349658602413
Estacion1,18,3.622203595825837
Estacion1,19,3.1483600867679216
Estacion1,20,2.882756511099474
Estacion1,21,2.775917411295224
Estacion1,22,2.695521940349691
Estacion1,23,2.5829705781142644
Estacion2,,
Estacion2,0,0.7102307692307684
Estacion2,1,0.6971809328549455
Estacion2,2,0.6994579246257115
Estacion2,3,0.6932923707117301
Estacion2,4,0.6997426659804445
Estacion2,5,0.700545312905742
Estacion2,6,0.6419229775135727
Estacion2,7,0.6209145232527951
Estacion2,8,0.8426986584107332
Estacion2,9,1.1876779704892622
Estacion2,10,1.5134615384615384
Estacion2,11,1.7271968709256873
Estacion2,12,1.8606875161540437
Estacion2,13,1.988422425032591
Estacion2,14,1.9482105809128643
Estacion2,15,1.8260160497023028
Estacion2,16,1.6655593044380994
Estacion2,17,1.3404749612803315
Estacion2,18,1.0342893725992333
Estacion2,19,0.8988674388674422
Estacion2,20,0.8603973168214651
Estacion2,21,0.81838961038961
Estacion2,22,0.7683102208525942
Estacion2,23,0.734463276836158
Estacion3,0,0.8100854540332417
Estacion3,1,0.7933581741965499
Estacion3,2,0.7832005249835954
Estacion3,3,0.7757510326699262
Estacion3,4,0.7523337386586862
Estacion3,5,0.7502367424242438
Estacion3,6,0.7348145358689527
Estacion3,7,0.7792259158112862
Estacion3,8,0.9779898100972662
Estacion3,9,1.2921087160262363
Estacion3,10,1.6425929402928912
Estacion3,11,1.976492890995266
Estacion3,12,2.2629459256477604
Estacion3,13,2.417047285132197
Estacion3,14,2.418092540132196
Estacion3,15,2.2661925704126507
Estacion3,16,2.0376457420016827
Estacion3,17,1.69467373117679
Estacion3,18,1.4033753709198775
Estacion3,19,1.2167510750119372
Estacion3,20,1.0857554509653267
Estacion3,21,0.9747935061236124
Estacion3,22,0.9022887659736769
Estacion3,23,0.8455766117512636
Estacion4,0,3.598347154704039
Estacion4,1,3.6171010990275922
Estacion4,2,3.6895178075855775
Estacion4,3,3.8639400580465595
Estacion4,4,4.086860288089942
Estacion4,5,4.287845402572642
Estacion4,6,4.434337775681112
Estacion4,7,4.4774063297904245
Estacion4,8,4.249337099377498
Estacion4,9,3.974558203169549
Estacion4,10,3.6707416556557795
Estacion4,11,3.394937363521456
Estacion4,12,3.179148098848311
Estacion4,13,3.0174069767441756
Estacion4,14,2.9377565298507435
Estacion4,15,2.8252811256559687
Estacion4,16,2.757772020725399
Estacion4,17,2.7098762563179144
Estacion4,18,2.74761768082662
Estacion4,19,2.980627218934927
Estacion4,20,3.186753541753838
Estacion4,21,3.4637426900585058
Estacion4,22,3.5430183032117135
Estacion4,23,3.56950646639215
