ESTACION,MES,HORA,VEL
Estacion1,1,0,2.6165900969882587
Estacion1,1,1,2.5905102040816357
Estacion1,1,2,2.5831483350151436
Estacion1,1,3,2.5837741607324567
Estacion1,1,4,2.654375970999486
Estacion1,1,5,2.7493222106360746
Estacion1,1,6,2.7320062047569835
Estacion1,1,7,2.30347648261759
Estacion1,1,8,2.7752786220871384
Estacion1,1,9,3.4465633074935407
Estacion1,1,10,4.046519779669499
Estacion1,1,11,4.5106467661691525
Estacion1,1,12,4.9797022332506184
Estacion1,1,13,5.147439085032321
Estacion1,1,14,5.4206075949367065
Estacion1,1,15,5.352879318978453
Estacion1,1,16,4.997019527235362
Estacion1,1,17,4.488159917990773
Estacion1,1,18,3.8849483521888817
Estacion1,1,19,3.2107924921793516
Estacion1,1,20,2.7487137383689095
Estacion1,1,21,2.6949291166848375
Estacion1,1,22,2.6536231884058004
Estacion1,1,23,2.6330535152151087
Estacion1,2,0,2.574805771365153
Estacion1,2,1,2.5045454545454566
Estacion1,2,2,2.4974986103390777
Estacion1,2,3,2.4961779806046813
Estacion1,2,4,2.5489921612541924
Estacion1,2,5,2.6496390893947837
Estacion1,2,6,2.633241150442478
Estacion1,2,7,2.254706533776304
Estacion1,2,8,2.787575590984063
Estacion1,2,9,3.547931219774315
Estacion1,2,10,4.031036353771022
Estacion1,2,11,4.4701531959852066
Estacion1,2,12,5.010462028677645
Estacion1,2,13,5.293969298245611
Estacion1,2,14,5.485165702261965
Estacion1,2,15,5.371420882669538
Estacion1,2,16,5.145517609391669
Estacion1,2,17,4.564693218514532
Estacion1,2,18,3.95008219178082
Estacion1,2,19,3.32684242061115
Estacion1,2,20,2.9316448152562593
Estacion1,2,21,2.7765830346475497
Estacion1,2,22,2.7224561403508827
Estacion1,2,23,2.669550369948777
Estacion1,3,0,2.587132169576062
Estacion1,3,1,2.385825621042379
Estacion1,3,2,2.3249627051218313
Estacion1,3,3,2.3290882061446987
Estacion1,3,4,2.4323616600790543
Estacion1,3,5,2.5784984678243155
Estacion1,3,6,2.490054972513748
Estacion1,3,7,2.367153652392945
Estacion1,3,8,2.9823357664233576
Estacion1,3,9,3.562380231971766
Estacion1,3,10,4.00969543147208
Estacion1,3,11,4.50005086469989
Estacion1,3,12,4.817039244908106
Estacion1,3,13,5.019542516161111
Estacion1,3,14,5.195137524557947
Estacion1,3,15,5.193719090009881
Estacion1,3,16,4.927978774722619
Estacion1,3,17,4.31550387596899
Estacion1,3,18,3.739333976833977
Estacion1,3,19,3.2646940822467414
Estacion1,3,20,3.026605033384692
Estacion1,3,21,2.975870772337202
Estacion1,3,22,2.817934508816122
Estacion1,3,23,2.6502579979360186
Estacion1,4,0,2.322923238696114
Estacion1,4,1,2.152838196286471
Estacion1,4,2,2.226596306068602
Estacion1,4,3,2.3854882705946556
Estacion1,4,4,2.3153311965811967
Estacion1,4,5,2.352737905369488
Estacion1,4,6,2.3677572559366733
Estacion1,4,7,2.4684517497348915
Estacion1,4,8,3.114105925537487
Estacion1,4,9,3.636631016042775
Estacion1,4,10,4.092833698030639
Estacion1,4,11,4.488811188811186
Estacion1,4,12,4.6520504731861205
Estacion1,4,13,4.584113624408208
Estacion1,4,14,4.558971668415537
Estacion1,4,15,4.685668958223163
Estacion1,4,16,4.499302200751474
Estacion1,4,17,4.000995285489789
Estacion1,4,18,3.5853519668737124
Estacion1,4,19,3.0674599068805017
Estacion1,4,20,2.6999999999999975
Estacion1,4,21,2.6022066738428435
Estacion1,4,22,2.5794392523364498
Estacion1,4,23,2.4116266666666633
Estacion1,5,0,2.5837956204379595
Estacion1,5,1,2.430223517978623
Estacion1,5,2,2.395669291338586
Estacion1,5,3,2.378669950738914
Estacion1,5,4,2.421025641025644
Estacion1,5,5,2.4830682401231456
Estacion1,5,6,2.4892221657346205
Estacion1,5,7,2.6910544727636148
Estacion1,5,8,3.457994041708043
Estacion1,5,9,4.050709219858154
Estacion1,5,10,4.3684738955823255
Estacion1,5,11,4.62798789712557
Estacion1,5,12,4.627816901408442
Estacion1,5,13,4.7221177634834115
Estacion1,5,14,4.726133469179822
Estacion1,5,15,4.571407185628743
Estacion1,5,16,4.299161322150968
Estacion1,5,17,3.897756097560966
Estacion1,5,18,3.5428290766208277
Estacion1,5,19,3.167454455933044
Estacion1,5,20,2.9943814687038026
Estacion1,5,21,2.780845892075838
Estacion1,5,22,2.7182743577314668
Estacion1,5,23,2.5983910287664544
Estacion1,6,0,2.8856856856856905
Estacion1,6,1,2.8206175298804776
Estacion1,6,2,2.8870983935743024
Estacion1,6,3,2.917608476286582
Estacion1,6,4,3.0144789579158293
Estacion1,6,5,3.0332983193277347
